Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Downhill Belmont Harbor,Diversey Bridge to Belmont Harbor,Belmont to Fullerton Mile,Fullerton Lakeline Detour,Lake Front - South Lagoon,Behind the Chess Pavilion,Burst of Speed,Lake Shore Curve South,Lakefront Mile,The cement beach ,3 miles to Navy Pier South,to the steps,E Walton St Climb,Ohio to Oak,Lake Shore Curve North,Oak St. to Division Underpass,N Dearborn Pkwy Climb,Kudos to Cooler Temps,Underpass to Volleyball Shack,Lake Front Sandy Path,New Fullerton Path,The Grind: 48,N. Ave Bridge to Belmont Sign,Div to Belmont Sprint.,Weav Run RACE THIS 5K CHALLENGE!,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Homeward bound,Tennis Court Tree Lines,Irving Park to Montrose,Montrose to Wilson LFP,Lakefront Trail (Montrose to Lawrence),Wilson to Lawrence,Lawrence to Foster,Foster to Lawrence,Lawrence to Wilson LFP Run,LSP - Lawrence To Wilson,Wilson Path to Underpass
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,2M loop Evanston lake front,Hamilton to Lee 400m,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU sheridan Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU sheridan Rd,Lake Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton to Lee 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Downhill Belmont Harbor,Diversey Bridge to Belmont Harbor,Belmont to Second Flagpole,Lake Front - South Lagoon,Brooks Best Fest Chicago,Behind the Chess Pavilion,N Dearborn Pkwy Climb,Kudos to Cooler Temps,Lake Front Sandy Path,The Grind: 48,New Fullerton Path,N. Ave Bridge to Belmont Sign,Div to Belmont Sprint.,Weav Run RACE THIS 5K CHALLENGE!,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Tennis Court Tree Lines,,,,,,,,,,,,,,,,,,,,,
Premium Sidewalk,Sheridan Hill to Gillson Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCormick trail: Oakton to Main,McCormick trail: Main to Dempster,Sculpture Mile - Oakton to Dempster,McCormick trail: Dempster to Church,McCormick - Dempster to Payne,McCormick Emerson to Green Bay,Arboretum from GB Rd to Bridge,ladd arboretum,McCormick - Payne to Dempster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium Sidewalk,Sheridan Hill to Gillson Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern - Lakefront Northbound,Northwestern - Lakefront Southbound,Vendra 1 - Evanston Beach,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custer/South Blvd Saunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custer/South Blvd Saunter,Northwestern - Lakefront Northbound,Athletic Loop,Northwestern - Lakefront Southbound,Vendra 1 - Evanston Beach,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium Sidewalk,Sheridan Hill to Gillson Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark St - Foster to Winnemac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custer/South Blvd Saunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3-5k-Mile1,Waldron to East Tunnel,McCormick Place Sprint,F3-5K-Mile2,33rd to 37th - path along LSD,39th Street Beach,Morgan Point Hill southbound,Ready 2 Run Final Mile,57th Street Beach,Point Park to Harold Washington,Shipwreck beach to the top of 47th st,first strava segment on lake michigan?,Morgan Point Hill northbound,51st to 40th on Lake Shore Trail,Meghan Point to Burnham Park (Oakland shoal!),McCormick Place Sprint North,Pershing Point- N end of McCormick,F3 Half Marathon 2020,,,,,,,,,,,,,,,,,,,,,,,
ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,,,,,,,,,,,,,,,,,,,,,
